timestamp,kernel,power_watts,utilization,sm_clock,mem_clock,temperature,pstate,memory_utilization,memory_used_MiB,memory_total_MiB,memory_free_MiB,memory_bandwidth_pct
15.717884302139282,Baseline,16.79,0.0,300.0,405.0,39.0,P0,0.0,114.0,8192.0,7674.0,0.0
16.099297046661377,Baseline,50.91,0.0,1470.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
16.382770538330078,Baseline,47.68,0.0,1470.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
16.606340646743774,Baseline,47.72,4.0,1470.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
16.827549695968628,Baseline,48.05,4.0,1470.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
17.050107955932617,Baseline,47.59,4.0,1470.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
17.272346258163452,Baseline,47.72,4.0,1470.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
17.493714332580566,Baseline,47.87,4.0,1470.0,7000.0,41.0,P0,0.0,101.0,8192.0,7687.0,0.0
17.715670585632324,Baseline,47.97,0.0,1320.0,7000.0,40.0,P0,0.0,101.0,8192.0,7687.0,0.0
17.946747541427612,Baseline,45.24,0.0,420.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
18.219046592712402,Strategy1,21.39,0.0,390.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
18.488959312438965,Strategy1,15.3,0.0,390.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
18.759267568588257,Strategy1,15.19,0.0,390.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
19.032233476638794,Strategy1,16.69,0.0,390.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
19.302855730056763,Strategy1,15.57,0.0,390.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
19.58655309677124,Strategy1,15.43,0.0,390.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
19.872156381607056,Strategy1,14.52,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
20.14288330078125,Strategy1,16.63,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
20.426196098327637,Strategy1,16.41,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
20.710529565811157,Strategy1,16.01,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
20.98344659805298,Strategy1,14.95,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
21.255162239074707,Strategy1,16.94,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
21.52529811859131,Strategy1,16.57,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
21.795717000961304,Strategy1,15.66,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
22.065789222717285,Strategy1,14.56,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
22.34845805168152,Strategy1,16.58,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
22.620118379592896,Strategy1,15.84,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
22.89492678642273,Strategy1,14.83,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
23.167871713638306,Strategy1,14.72,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
23.440678358078003,Strategy1,16.61,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
23.711788415908813,Strategy1,15.83,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
23.98485565185547,Strategy1,14.96,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
24.257570505142212,Strategy1,17.16,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
24.53994083404541,Strategy1,16.41,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
24.813577890396118,Strategy1,16.28,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
25.087611198425293,Strategy1,15.09,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
25.35902428627014,Strategy1,16.94,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
25.629940271377563,Strategy1,16.42,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
25.901967763900757,Strategy1,15.03,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
26.173919677734375,Strategy1,14.58,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
26.445143222808838,Strategy1,16.35,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
26.718065977096558,Strategy1,15.73,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
26.99090313911438,Strategy1,14.92,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
